Head,HeadName,SameHeadStartFlag,Programme No.,Programme Name,Sector,2014-15-Actual,"2015-16
(Original)
($m)","2015-16
(Revised)
($m)","2016-17
(Estimate)
($m)"
53,Government Secretariat: Home Affairs Bureau,0,3,"District, Community, and Public Relations",,37.7,36.1,44.1,55.8
53,Government Secretariat: Home Affairs Bureau,0,4,"Recreation, Sport and Entertainment Licensing",,134.7,134.9,153.2,182.1
53,Government Secretariat: Home Affairs Bureau,0,5,Culture,,153.5,154.6,157,173.5
53,Government Secretariat: Home Affairs Bureau,0,6,"Subvention: Hong Kong Academy for Performing Arts, Hong Kong Arts Development Council and Major Performing Arts Groups",Hong Kong Academy for Performing Arts,303.5,302.1,313.9,309.3
53,Government Secretariat: Home Affairs Bureau,0,6,"Subvention: Hong Kong Academy for Performing Arts, Hong Kong Arts Development Council and Major Performing Arts Groups",Hong Kong Arts Development Council,126.4,124.1,124.7,124.4
53,Government Secretariat: Home Affairs Bureau,0,6,"Subvention: Hong Kong Academy for Performing Arts, Hong Kong Arts Development Council and Major Performing Arts Groups",Major Performing Arts Groups,334.6,334.6,334.6,334.6
53,Government Secretariat: Home Affairs Bureau,0,7,Subvention: Duty Lawyer Service and Legal Aid Services Council,Duty Lawyer Service,115.3,119.9,122,129.8
53,Government Secretariat: Home Affairs Bureau,0,7,Subvention: Duty Lawyer Service and Legal Aid Services Council,Legal Aid Services Council,5.2,6,6.2,6.2
55,Government Secretariat: Commerce and Economic Development Bureau (Communications and Creative Industries Branch),1,1,Broadcasting and Creative Industries,,282.5,322.6,296.1,392.3
55,Government Secretariat: Commerce and Economic Development Bureau (Communications and Creative Industries Branch),0,2,Telecommunications,,12.8,17.8,15.1,22.1
59,Government Logistics Department,1,1,Procurement,,50.4,49.7,51.8,53.4
59,Government Logistics Department,0,2,Supplies Management,,77.1,79.1,78.2,84.3
59,Government Logistics Department,0,3,Land Transport,,198.5,198.2,200.3,239.4
59,Government Logistics Department,0,4,Printing Services,,210.5,224,219.5,225.4
60,Highways Department,1,1,Capital Projects,,373.8,387.9,411.1,444.3
60,Highways Department,0,2,District and Maintenance Works,,1356.8,1363.7,1373.3,1526.3
60,Highways Department,0,3,Railway Development,,102.7,112.6,118,125.5
60,Highways Department,0,4,Technical Services,,777.3,775.6,756.6,819.1
62,Housing Department,1,1,Building Control,,120.3,135.1,136.9,141.7
62,Housing Department,0,2,Private Housing,,64.8,65.9,68.1,78.1
62,Housing Department,0,3,Appeal Panel (Housing),,9.6,10.7,11.2,11
62,Housing Department,0,4,Rehousing of Occupants upon Clearance,,21.2,23.4,24.2,23.9
62,Housing Department,0,5,Support Services,,34.6,45.3,47,32.9
63,Home Affairs Department,1,1,District Administration,,810.2,952,987.3,963.8
63,Home Affairs Department,0,2,Community Building,,1082.9,1088.3,1113.2,1079.8
63,Home Affairs Department,0,3,Local Environmental Improvements,,227.6,244.6,237.6,259.4
63,Home Affairs Department,0,4,Licensing,,63.3,63.6,67.9,66.9
63,Home Affairs Department,0,5,Territory Planning and Development,,21.9,22.5,23.1,23.5
70,Immigration Department,1,1,Pre-entry Control,,272.9,280.7,290.4,308.3
70,Immigration Department,0,2,Control upon Entry,,2049,2110.7,2173.7,2296.2
70,Immigration Department,0,3,Control after Entry,,836.5,845.5,873.2,933.2
70,Immigration Department,0,4,Personal Documentation,,647.8,651.2,668.4,706.5
70,Immigration Department,0,5,Nationality and Assistance to HKSAR Residents outside Hong Kong,,22.7,22.2,23,23.9
72,Independent Commission Against Corruption,1,1,Corruption Prevention,,66.6,66.4,71.9,71.6
72,Independent Commission Against Corruption,0,2,Operations,,744.2,752.7,779.6,782.1
72,Independent Commission Against Corruption,0,3,Preventive Education,,74,78.2,78.6,77.7
72,Independent Commission Against Corruption,0,4,Enlisting Support,,76.4,80.6,81.1,80.2
74,Information Services Department,1,1,Public Relations Outside Hong Kong,,83.6,103.3,104,100.6
74,Information Services Department,0,2,Local Public Relations and Public Information,,190,206.3,207.2,212.7
74,Information Services Department,0,3,Public Opinion,,22.3,24,22.6,24.1
74,Information Services Department,0,4,Civic Responsibility,,41.1,48,44.8,49.3
74,Information Services Department,0,5,Publishing,,71.7,68.1,71,70.9
76,Inland Revenue Department,1,1,Assessing Functions,,1020.8,1046.6,1069.8,1084
76,Inland Revenue Department,0,2,Collection,,156,160.9,165.8,167.5
76,Inland Revenue Department,0,3,Investigation and Field Audit,,213,217.2,225,227.2
76,Inland Revenue Department,0,4,Taxpayer Services,,25.9,26.4,27.4,27.7
78,Intellectual Property Department,1,1,Statutory Functions,,95.8,99.6,98.9,100.5
78,Intellectual Property Department,0,2,Protection of Intellectual Property,,35.8,37.9,40.7,47
79,Invest Hong Kong,1,1,Investment Promotion,,115.9,115.1,115.9,128.2
80,Judiciary,1,1,"Courts, Tribunals and Various Statutory Functions",,968.4,1085.6,1060.9,1204.5
80,Judiciary,0,2,Support Services for Courts' Operation,,309.1,351.6,347.9,383
82,Buildings Department,1,1,Buildings and Building Works,,1142.7,1243.1,1266.9,1308.7
90,Labour Department,1,1,Labour Relations,,146.8,157.9,160.5,174.2
90,Labour Department,0,2,Employment Services,,850.7,954.9,853.8,913.9
90,Labour Department,0,3,Safety and Health at Work,,433.6,453.1,465.3,484
90,Labour Department,0,4,Employees' Rights and Benefits,,329.2,352.1,351.2,375.2
91,Lands Department,1,1,Land Administration,,1622.5,1671.5,1728.9,1731.3
91,Lands Department,0,2,Survey and Mapping,,520.5,526.3,539.4,549.7
91,Lands Department,0,3,Legal Advice,,67.5,67.8,73.1,76
92,Department of Justice,1,1,Prosecutions,,676.6,711.7,681.9,900.3
92,Department of Justice,0,2,Civil,,539.3,967.7,752.5,1025.9
92,Department of Justice,0,3,Legal Policy,,108.4,116.9,112,128.3
92,Department of Justice,0,4,Law Drafting,,104.2,115,117.8,126.5
92,Department of Justice,0,5,International Law,,54.2,68.7,66.7,59.9
94,Legal Aid Department,1,1,Processing of Legal Aid Applications,,99.6,100.5,103.4,103.7
94,Legal Aid Department,0,2,Litigation Services,,695.4,691.3,695.1,845.7
94,Legal Aid Department,0,3,Support Services,,37.4,40,42,42.4
94,Legal Aid Department,0,4,Official Solicitor's Office,,16.7,13.3,15,15.9
95,Leisure and Cultural Services Department,1,1,Recreation and Sports,,3396.9,3566.5,3638.5,3958.3
95,Leisure and Cultural Services Department,0,2,Horticulture and Amenities,,838.2,952.2,957.3,1141.7
95,Leisure and Cultural Services Department,0,3,Heritage and Museums,,764.5,834.3,816.6,942.5
95,Leisure and Cultural Services Department,0,4,Performing Arts,,1045.2,1039.2,1117.3,1138.7
95,Leisure and Cultural Services Department,0,5,Public Libraries,,979.8,1090.5,1068.6,1191.2
96,Government Secretariat: Overseas Economic and Trade Offices,1,1,Commercial Relations,,154.3,171.3,172.6,187.5
96,Government Secretariat: Overseas Economic and Trade Offices,0,2,Public Relations,,116.7,126.2,129.3,140.2
96,Government Secretariat: Overseas Economic and Trade Offices,0,3,Investment Promotion,,55,58.3,59.6,63.9
100,Marine Department,1,1,Infrastructure,,57.5,53.9,57.9,57.9
100,Marine Department,0,2,Port Services,,408.7,432.7,439.6,450.6
100,Marine Department,0,3,Local Services,,136.7,121.9,115.7,153.1
100,Marine Department,0,4,Services to Ships,,94.1,92.6,97,96.1
100,Marine Department,0,5,Government Fleet,,506.7,477,483.8,553
112,Legislative Council Commission,1,1,Members' Offices and Remuneration,,219.7,228.1,227.8,290.5
112,Legislative Council Commission,0,2,Council Business Services,,379.8,388.4,397.5,408.2
112,Legislative Council Commission,0,3,Legal Service,,50.8,49.6,51.6,50.8
112,Legislative Council Commission,0,4,Redress System,,21.6,22.9,22.5,22.9
112,Legislative Council Commission,0,5,Library and Archives Services,,30.7,34.4,34.5,36.3
112,Legislative Council Commission,0,6,Corporate Liaison and Education and Visitor Services,,31.9,35.2,37.4,41.4
114,Office of The Ombudsman,1,1,Complaints Administration,,107.2,107.1,112.2,110.8
116,Official Receiver's Office,1,1,Official Receiver's Office,,149.8,154.4,158.9,190.6
118,Planning Department,1,1,Territorial Planning,,111.3,126.9,133.9,139.5
118,Planning Department,0,2,District Planning,,355,369.1,382.5,385.8
118,Planning Department,0,3,Town Planning Information Services,,25.5,29.5,26.5,27.2
118,Planning Department,0,4,Technical Services,,99.6,104.3,102.3,104.7
120,Pensions,1,1,Public and Judicial Service Pension Benefits,,26390.2,29689.1,29671.4,33025.5
120,Pensions,0,2,War Memorial Pensions/Volunteer Pensions,,22.3,23.3,21.2,21.2
121,Independent Police Complaints Council,1,1,Police Complaints Administration,,57.3,57.3,58.9,62.3
122,Hong Kong Police Force,1,1,Maintenance of Law and Order in the Community,,7738.1,8076,8362.8,8434.3
122,Hong Kong Police Force,0,2,Prevention and Detection of Crime,,3585.7,3432.8,3515.8,3567.2
122,Hong Kong Police Force,0,3,Road Safety,,1361.5,1656.8,1723.7,1735.2
122,Hong Kong Police Force,0,4,Operations,,3861.9,3635.1,3464.6,3566.8
135,Government Secretariat: Innovation and Technology Bureau,1,1,Director of Bureau¡¦s Office,,0,0,4.7,14.7
135,Government Secretariat: Innovation and Technology Bureau,0,2,Innovation and Technology,,0,0,7.9,28.7
136,Public Service Commission Secretariat,1,1,Secretariat services for the Public Service Commission,,21.4,21.9,22.6,25
137,Government Secretariat: Environment Bureau,1,1,Director of Bureau's Office,,14.7,15.9,16.2,16
137,Government Secretariat: Environment Bureau,0,2,Power,,33.3,33.2,33.8,27.1
137,Government Secretariat: Environment Bureau,0,3,Sustainable Development,,30.2,32.3,30.9,34.7
138,Government Secretariat: Development Bureau (Planning and Lands Branch),1,1,Director of Bureau's Office,,13.6,13.4,13.6,13.6
138,Government Secretariat: Development Bureau (Planning and Lands Branch),0,2,"Buildings, Lands and Planning",,460.5,302.4,298.2,304.7
139,Government Secretariat: Food and Health Bureau (Food Branch),1,1,Director of Bureau's Office,,11.4,11.1,11.8,11.8
139,Government Secretariat: Food and Health Bureau (Food Branch),0,2,"Agriculture, Fisheries and Food Safety",,37.1,50.3,49.3,96.4
139,Government Secretariat: Food and Health Bureau (Food Branch),0,3,Environmental Hygiene,,25.4,22.9,20.7,39.7
140,Government Secretariat: Food and Health Bureau (Health Branch),1,1,Health,,242.6,371.6,371.2,489.3
140,Government Secretariat: Food and Health Bureau (Health Branch),0,2,Subvention: Hospital Authority,,49803.6,49876,51525,51588.9
140,Government Secretariat: Food and Health Bureau (Health Branch),0,3,Subvention: Prince Philip Dental Hospital,,158.2,153,157.6,159.8
141,Government Secretariat: Labour and Welfare Bureau,1,1,Director of Bureau's Office,,11.3,12.1,12.6,12.6
141,Government Secretariat: Labour and Welfare Bureau,0,2,Social Welfare,,356,412.6,376,415
141,Government Secretariat: Labour and Welfare Bureau,0,3,Women's Interests,,28.4,32.2,29.8,33
141,Government Secretariat: Labour and Welfare Bureau,0,4,Manpower Development,,30.5,34.6,30.6,35.6
141,Government Secretariat: Labour and Welfare Bureau,0,5,Subvention: Shine Skills Centres,,101.5,100.5,103.6,103.8
141,Government Secretariat: Labour and Welfare Bureau,0,6,Subvention: Guardianship Board and Environmental Advisory Service,,7.4,7,7.2,7.4
141,Government Secretariat: Labour and Welfare Bureau,0,7,Subvention: Vocational Training Council (Vocational Training),,206.4,202.7,201.8,200.1
142,Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary,1,1,Efficiency Unit,,213.6,221.1,214.3,234.6
142,Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary,0,2,Government Records Service,,53.8,58.7,58.3,66.6
142,Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary,0,3,CSO-Administration Wing,,485.4,527.8,517.7,610.9
142,Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary,0,4,Protocol Division,,42.3,45.6,45.7,45.9
143,Government Secretariat: Civil Service Bureau,1,1,Director of Bureau's Office,,6.7,6.7,7.2,7.2
143,Government Secretariat: Civil Service Bureau,0,2,Human Resource Management,,258.1,275.8,269,290.7
143,Government Secretariat: Civil Service Bureau,0,3,Translation and Interpretation Services and Use of Official Languages,,126.7,135.8,136,136.9
143,Government Secretariat: Civil Service Bureau,0,4,Civil Service Training and Development,,128.6,138.7,137.2,144.1
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,1,1,Director of Bureau's Office,,9.9,10.2,9.7,11.1
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,2,Constitutional and Mainland Affairs,,117.9,112.2,113.2,108.6
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,3,Mainland and Taiwan Offices,,240.9,257.9,256.7,283.9
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,4,Rights of the Individual,,26,24.7,28.1,25.1
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,5,Subvention: Equal Opportunities Commission and Office of the Privacy Commissioner for Personal Data,Equal Opportunities Commission,106,105.1,105.7,107
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,5,Subvention: Equal Opportunities Commission and Office of the Privacy Commissioner for Personal Data,Office of the Privacy Commissioner for Personal Data,73.9,70.5,72.8,72.3
147,Government Secretariat: Financial Services and the Treasury Bureau (The Treasury Branch),1,1,Director of Bureau's Office,,13.1,13.2,14,14.1
147,Government Secretariat: Financial Services and the Treasury Bureau (The Treasury Branch),0,2,Revenue and Financial Control,,139.3,143.7,148.2,153.7
147,Government Secretariat: Financial Services and the Treasury Bureau (The Treasury Branch),0,3,Service Departments,,59.4,61.3,63.6,65.7
148,Government Secretariat: Financial Services and the Treasury Bureau (Financial Services Branch),1,1,Financial Services,,239.4,229.8,245.9,765.5
151,Government Secretariat: Security Bureau,1,1,Director of Bureau's Office,,12.7,12.6,13.6,13.6
151,Government Secretariat: Security Bureau,0,2,Internal Security,,136.8,148.8,147.2,156.9
151,Government Secretariat: Security Bureau,0,3,Immigration Control,,153.5,194.7,190.6,310.1
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),1,1,Director of Bureau's Office,,11.5,11.9,12.3,12.3
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,2,Commerce and Industry,,166.6,244.2,641.3,345.9
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,3,Subvention: Hong Kong Trade Development Council,,393.4,393.4,393.4,389.5
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,4,"Posts, Competition Policy and Consumer Protection",,10.4,9,9.3,9
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,5,Subvention: Consumer Council,,107.2,108.3,112.5,108.3
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,6,Travel and Tourism,,187.4,238.1,203.8,267.5
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,7,Subvention: Hong Kong Tourism Board,,667.9,747.9,758.6,871.9
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,8,Public Safety,,0.5,0.5,0.5,0.5
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,9,Subvention: Competition Commission,,86.4,75.9,78,77.1
155,Government Secretariat: Innovation and Technology Commission,1,1,Support for Research and Development,,84.9,109,104,55
155,Government Secretariat: Innovation and Technology Commission,0,2,Fostering University-Industry Collaboration,,6.9,6.6,6.6,6.9
155,Government Secretariat: Innovation and Technology Commission,0,3,Promotion of Technological Entrepreneurship,,8.4,10.4,10.7,21.6
155,Government Secretariat: Innovation and Technology Commission,0,4,Planning for Innovation and Technology Development,,36.9,39.1,38.8,42.2
155,Government Secretariat: Innovation and Technology Commission,0,5,Infrastructural Support,,11.7,12.1,12.7,13.3
155,Government Secretariat: Innovation and Technology Commission,0,6,Quality Support,,111,108.7,112.4,113.4
155,Government Secretariat: Innovation and Technology Commission,0,7,"Subvention: Hong Kong Productivity Council, Hong Kong Applied Science and Technology Research Institute Company Limited",Hong Kong Applied Science and Technology Research Institute Company Limited,141.5,141.5,141.5,140
155,Government Secretariat: Innovation and Technology Commission,0,7,"Subvention: Hong Kong Productivity Council, Hong Kong Applied Science and Technology Research Institute Company Limited",Hong Kong Productivity Council,192.9,192.9,197.7,195.9
156,Government Secretariat: Education Bureau,1,1,Director of Bureau's Office,,11.7,11.7,12.4,12.4
156,Government Secretariat: Education Bureau,0,2,Primary Education,Government sector,1012.7,1096.4,1104.9,1177.1
156,Government Secretariat: Education Bureau,0,2,Primary Education,Subvented sector,13393.6,14097.1,14569,15205.4
156,Government Secretariat: Education Bureau,0,3,Secondary Education,Government sector,1460.1,1516.9,1522,1601.8
156,Government Secretariat: Education Bureau,0,3,Secondary Education,Subvented sector,22268.5,22527.1,23226,23501
156,Government Secretariat: Education Bureau,0,4,Special Education,,2010.8,2186,2231,2309.5
156,Government Secretariat: Education Bureau,0,5,Other Educational Services and Subsidies,,3658.3,4361.1,4176.3,4525.4
156,Government Secretariat: Education Bureau,0,6,Vocational and Professional Education,,2182.1,2228.1,2302.8,2319.1
156,Government Secretariat: Education Bureau,0,7,Policy and Support,,1978,3358.3,3169,2532.4
158,Government Secretariat: Transport and Housing Bureau (Transport Branch),1,1,Director of Bureau's Office,,14,13.8,14,14
158,Government Secretariat: Transport and Housing Bureau (Transport Branch),0,2,Land and Waterborne Transport,,78.9,89,88.1,97.9
158,Government Secretariat: Transport and Housing Bureau (Transport Branch),0,3,Air and Sea Communications and Logistics Development,,102.2,120.5,108.2,166.9
159,Government Secretariat: Development Bureau (Works Branch),1,1,Water Supply,,10.5,10.3,21.6,11.3
159,Government Secretariat: Development Bureau (Works Branch),0,2,Heritage Conservation,,46.4,52.5,47.1,59.3
159,Government Secretariat: Development Bureau (Works Branch),0,3,"Greening, Landscape and Tree Management",,44.4,48.4,47.5,53.1
159,Government Secretariat: Development Bureau (Works Branch),0,4,Energizing Kowloon East,,27.1,31,28.4,33.4
159,Government Secretariat: Development Bureau (Works Branch),0,5,Intra-Governmental Services,,287.2,274.2,296.1,259.8
160,Radio Television Hong Kong,1,1,Radio,,338.8,347.5,361.6,385.5
160,Radio Television Hong Kong,0,2,Public Affairs and General Television Programme,,372.5,414.3,415.7,523.7
160,Radio Television Hong Kong,0,3,School Education Television Programme,,30.8,31.8,31.8,33.9
160,Radio Television Hong Kong,0,4,New Media,,33.6,29.5,34.2,35.3
162,Rating and Valuation Department,1,1,Statutory Valuation and Assessments,,305.6,326.2,319.1,331.7
162,Rating and Valuation Department,0,2,Collection and Billing of Rates and Government Rent,,59.4,63.2,64.6,65.4
162,Rating and Valuation Department,0,3,Provision of Valuation and Property Information Services,,81,82.4,84.8,85.6
162,Rating and Valuation Department,0,4,Landlord and Tenant Services,,29.6,30.1,30.9,31
163,Registration and Electoral Office,1,1,Electoral Services,,180,743.8,503.6,1114.3
166,Government Flying Service,1,1,Government Flying Service,,359.7,583.3,1027.2,577.6
168,Hong Kong Observatory,1,1,Weather Services,,229,236.9,243.1,250.3
168,Hong Kong Observatory,0,2,Radiation Monitoring and Assessment,,27,27.2,28,29.4
168,Hong Kong Observatory,0,3,Time Standard and Geophysical Services,,11.3,11.4,11.8,12.6
169,Secretariat- Commissioner on Interception of Communications and Surveillance,1,1,Compliance with Interception and Surveillance Legislation,,18.3,21.5,20.5,20.1
170,Social Welfare Department,1,1,Family and Child Welfare,Government sector,1005.3,1039.5,1054.6,1081.7
170,Social Welfare Department,1,1,Family and Child Welfare,Subvented sector,1447.7,1589.2,1669.6,1981.5
170,Social Welfare Department,0,2,Social Security,Government sector,40304.3,41130.6,45171.5,43164.2
170,Social Welfare Department,0,2,Social Security,Subvented sector,0.6,0.6,0.6,0.6
170,Social Welfare Department,0,3,Services for The Elderly,Government sector,199.9,214.2,226,262.4
170,Social Welfare Department,0,3,Services for The Elderly,Subvented/private sectors,5819.2,6452.2,6443.9,6982.4
170,Social Welfare Department,0,4,Rehabilitation and Medical Social Services,Government sector,537,550.6,576.3,594.3
170,Social Welfare Department,0,4,Rehabilitation and Medical Social Services,Subvented/private sectors,4503.3,4978.2,4950.6,5066.1
170,Social Welfare Department,0,5,Services for Offenders,Government sector,284.7,296,299.6,304.6
